id,player_id,team_name,start_date,end_date
76532,174987,446,01/01/1949,01/01/1971
76533,151244,902,07/01/1958,07/01/1974
76534,117372,1168,07/01/1989,07/01/1990
76535,117372,3816,03/01/1988,07/01/1989
76536,117372,529,01/01/1969,03/01/1988
76537,117619,1202,07/01/1991,07/01/1994
76538,117619,50,07/05/1985,07/01/1989
76539,117619,64,07/01/1983,07/05/1985
76540,117619,50,07/01/1971,07/01/1983
76541,135269,11,08/10/1977,07/01/1990
76542,135269,195,07/01/1969,08/10/1977
76543,135269,7369,07/01/1968,07/01/1969
76544,96182,589,07/01/1988,07/01/1990
76545,96182,35,07/01/1984,07/01/1988
76546,96182,661,02/01/1978,07/01/1984
76547,96182,171,11/01/1976,02/01/1978
76548,96182,7218,01/01/1976,11/01/1976
76549,135644,179,01/01/1981,07/01/1982
76550,135644,1052,07/01/1980,01/01/1981
76551,135644,43,07/01/1971,07/01/1980
76552,135644,2910,07/01/1969,07/01/1971
76553,135644,2322,07/01/1965,07/01/1969
76554,78388,1547,11/29/1988,07/01/1989
76555,78388,6684,07/01/1988,08/28/1988
76556,78388,3712,01/01/1986,07/01/1988
76557,78388,779,01/01/1981,01/01/1986
76558,78388,18,06/01/1980,01/01/1981
76559,78388,6658,01/01/1980,06/01/1980
76560,78388,18,07/01/1978,01/01/1980
76561,78388,779,06/30/1972,07/01/1978
76562,78388,7219,07/01/1971,06/30/1972
76563,78388,779,01/01/1971,07/01/1971
76564,215272,83,07/01/1939,07/01/1959
76565,145124,184,07/01/1977,07/01/1978
76566,145124,823,07/01/1975,07/01/1977
76567,145124,184,07/01/1961,07/01/1975
76568,38191,3760,04/22/1978,04/24/1978
76569,38191,115,07/01/1953,07/01/1972
76570,38191,1819,07/01/1951,07/01/1953
76571,38191,2099,07/01/1949,07/01/1951
76572,142153,5077,07/01/1981,07/01/1984
76573,142153,16,11/01/1978,07/01/1981
76574,142153,697,07/01/1966,11/01/1978
76575,117598,1748,07/01/1995,07/01/1998
76576,117598,17,01/31/1984,07/01/1995
76577,117598,1056,04/01/1982,01/31/1984
76578,211533,2917,07/01/1963,07/01/1977
76579,211533,7370,07/01/1962,07/01/1963
76580,211533,7220,07/01/1961,07/01/1962
76581,211533,7221,07/01/1960,07/01/1961
76582,289544,8,07/01/1953,
76583,215277,3844,09/25/1963,09/26/1963
76584,215277,181,08/01/1946,07/01/1960
76585,117377,36,11/20/1988,08/17/1990
76586,117377,271,01/01/1978,11/20/1988
76587,117377,7222,01/01/1976,01/01/1978
76588,211551,7223,09/20/1984,07/01/1985
76589,211551,7224,08/13/1984,09/20/1984
76590,211551,7225,11/10/1982,07/01/1983
76591,211551,7226,10/31/1982,11/10/1982
