id,player_id,team_id,start_date,end_date
0,8036,153,07/01/2002,07/01/2005
1,8036,18,07/01/1994,07/01/2002
2,8036,292,07/01/1989,07/01/1994
3,8036,2596,07/01/1988,07/01/1989
4,258051,524,12/30/1995,07/01/1996
5,258051,481,07/01/1992,07/01/1995
6,258051,1192,07/13/1991,07/01/1992
7,258051,63,12/27/1981,07/13/1991
8,258051,5951,01/01/1980,12/27/1981
9,258051,3722,01/01/1978,01/01/1980
10,18699,1404,02/09/2016,03/01/2017
11,18699,942,12/30/2014,11/30/2015
12,18699,266,07/01/2014,12/30/2014
13,18699,313,06/30/2014,07/01/2014
14,18699,619,07/01/2013,06/30/2014
15,18699,313,12/10/2012,07/01/2013
16,18699,3615,06/01/2012,12/10/2012
17,18699,313,02/02/2010,06/01/2012
18,18699,860,12/12/2009,02/02/2010
19,18699,61,12/30/2006,12/12/2009
20,18699,110,07/03/2004,12/30/2006
21,18699,230,01/01/2000,07/03/2004
22,311030,2144,07/01/1986,07/01/1988
23,311030,1407,07/01/1985,07/01/1986
24,311030,439,07/01/1983,07/01/1985
25,311030,65,07/01/1978,07/01/1983
26,311030,6,07/01/1975,07/01/1978
27,311030,439,07/01/1972,07/01/1975
28,311030,631,07/01/1971,07/01/1972
29,34495,545,08/12/2020,07/01/2021
30,34495,751,07/23/2019,08/12/2020
31,34495,163,07/29/2016,07/23/2019
32,34495,18,07/14/2010,07/29/2016
33,34495,36,01/21/2005,07/14/2010
34,34495,264,01/01/2002,01/21/2005
35,5876,5952,01/29/2016,05/28/2016
36,5876,221,01/06/2014,04/11/2014
37,5876,50,08/21/2012,11/06/2012
38,5876,40,03/25/2011,03/12/2012
39,5876,4,07/01/2010,03/25/2011
40,5876,50,05/06/2009,07/01/2010
41,5876,3,06/30/2008,05/06/2009
42,5876,42,01/01/2008,06/30/2008
43,5876,3,01/21/2004,01/01/2008
44,5876,45,07/01/2002,01/21/2004
45,5876,3,06/30/2002,07/01/2002
46,5876,24,01/11/2002,06/30/2002
