id,player_id,team_id,start_date,end_date
0,18301,1205,07/01/2021,07/16/2021
1,18301,1763,01/04/2021,07/01/2021
2,18301,1401,09/17/2020,01/04/2021
3,18301,1400,01/01/2019,12/31/2019
4,18301,726,05/25/2017,01/01/2018
5,18301,17,07/18/2013,07/01/2016
6,18301,15,08/31/2012,07/18/2013
7,18301,1,07/12/2006,08/31/2012
8,18301,18,07/01/2004,07/12/2006
9,18301,146,01/01/2001,07/01/2004
10,37148,13,12/28/2005,07/01/2018
11,37148,128,10/28/2005,12/28/2005
12,37148,13,10/22/2005,10/28/2005
13,37148,112,09/22/2005,10/22/2005
14,37148,13,07/01/2005,09/22/2005
15,37148,722,07/01/2003,07/01/2005
16,91845,11,08/28/2015,
17,91845,52,07/01/2013,08/28/2015
18,91845,30,07/01/2010,07/01/2013
19,91845,719,04/01/2010,07/01/2010
20,91845,261,07/01/2009,04/01/2010
21,91845,704,08/01/2008,07/01/2009
22,91845,1399,01/01/2008,05/01/2008
23,91845,1398,07/01/2007,01/01/2008
24,91845,1397,01/01/2007,07/01/2007
25,91845,1396,01/01/2005,01/01/2007
26,4592,54,06/30/2014,07/01/2014
27,4592,33,08/08/2013,06/30/2014
28,4592,54,07/09/2012,08/08/2013
29,4592,7,07/05/2005,07/09/2012
30,4592,33,01/01/2003,07/05/2005
31,4592,1394,01/01/2000,01/01/2003
32,4592,1387,01/01/1999,01/01/2000
33,17121,135,06/10/1975,10/01/1977
34,17121,134,07/01/1956,06/10/1975
35,8198,262,01/01/2023,
36,8198,7,08/31/2021,11/22/2022
37,8198,5,07/10/2018,08/31/2021
38,8198,6,07/06/2009,07/10/2018
39,8198,7,08/12/2003,07/06/2009
40,8198,76,07/01/2002,08/12/2003
41,8198,162,07/01/2000,07/01/2002
42,8198,269,07/01/1998,07/01/2000
43,8198,309,07/01/1997,07/01/1998
44,8198,1393,07/01/1996,07/01/1997
45,8198,1392,07/01/1995,07/01/1996
46,28003,338,07/15/2023,
47,28003,23,08/10/2021,07/15/2023
48,28003,2,07/01/2005,08/10/2021
49,28003,142,03/05/2004,07/01/2005
50,28003,378,11/28/2003,03/05/2004
51,28003,111,09/13/2003,11/28/2003
52,28003,147,07/01/2002,09/13/2003
53,28003,708,07/01/2000,07/01/2002
54,8024,75,04/21/1997,10/25/1997
55,8024,75,10/01/1995,08/14/1996
56,8024,263,09/09/1993,07/01/1994
57,8024,58,09/22/1992,09/09/1993
58,8024,265,07/01/1991,09/22/1992
59,8024,59,07/01/1984,07/01/1991
60,8024,2,07/01/1982,07/01/1984
61,8024,316,06/30/1982,07/01/1982
62,8024,75,02/20/1981,06/30/1982
63,8024,316,01/01/1977,02/20/1981
64,72347,135,07/01/1982,09/01/1983
65,72347,30,10/31/1980,07/01/1982
66,72347,135,07/01/1977,10/31/1980
67,72347,8,07/01/1964,07/01/1977
68,88994,5,07/01/1982,07/01/1987
69,88994,29,07/01/1979,07/01/1982
70,88994,189,07/01/1973,07/01/1979
71,8021,64,07/01/1983,07/01/1984
72,8021,21,11/30/1981,07/01/1983
73,8021,707,06/30/1981,11/30/1981
74,8021,308,03/01/1981,06/30/1981
75,8021,707,07/01/1980,03/01/1981
76,8021,375,07/01/1978,07/01/1980
77,8021,374,08/24/1973,07/01/1978
78,8021,21,07/01/1964,08/24/1973
79,3140,100,12/09/2008,02/13/2011
80,3140,4,01/30/2007,07/01/2008
81,3140,6,08/31/2002,01/30/2007
82,3140,1,07/22/1997,08/31/2002
83,3140,2,07/16/1996,07/22/1997
84,3140,33,08/17/1994,07/16/1996
85,3140,146,01/01/1993,08/17/1994
86,74471,4,07/01/1987,08/17/1995
87,74471,21,07/01/1982,07/01/1987
88,74471,131,07/01/1981,07/01/1982
89,89230,1391,02/01/1978,07/01/1978
90,89230,1390,01/01/1978,02/01/1978
91,89230,1389,07/01/1977,01/01/1978
92,89230,717,07/01/1976,07/01/1977
93,89230,1388,01/01/1976,07/01/1976
94,89230,1402,10/01/1975,01/01/1976
95,89230,1395,07/01/1975,10/01/1975
96,89230,25,07/01/1960,07/01/1975
97,35604,1403,07/01/1981,07/01/1982
98,35604,201,07/01/1979,07/01/1981
99,35604,8,07/01/1964,07/01/1979
100,35604,1413,07/01/1963,07/01/1964
101,174874,739,01/01/1979,07/01/1979
102,174874,1419,07/01/1978,01/01/1979
103,174874,736,01/01/1977,07/01/1978
104,174874,419,07/01/1976,01/01/1977
105,174874,1418,07/01/1975,07/01/1976
106,174874,206,07/01/1974,07/01/1975
107,174874,7,07/01/1956,07/01/1973
108,72343,174,07/01/1987,07/01/1990
109,72343,1,07/01/1984,07/01/1987
110,72343,8,07/01/1974,07/01/1984
111,3111,6,07/09/2001,07/10/2006
112,3111,5,07/01/1996,07/09/2001
113,3111,28,07/01/1992,07/01/1996
114,3111,144,07/01/1990,07/01/1992
115,3111,734,07/01/1988,07/01/1990
116,1527,274,03/10/2000,01/01/2001
117,1527,8,07/01/1992,03/10/2000
118,1527,1,07/01/1988,07/01/1992
119,1527,8,07/01/1984,07/01/1988
120,1527,48,07/01/1979,07/01/1984
121,1527,1417,07/01/1978,07/01/1979
122,1527,1416,07/01/1977,07/01/1978
123,1527,1415,07/01/1975,07/01/1977
124,101045,3,07/01/1995,07/01/1998
125,101045,49,11/08/1994,07/01/1995
126,101045,4,07/01/1994,11/08/1994
127,101045,49,07/01/1993,07/01/1994
128,101045,4,07/01/1987,07/01/1993
129,101045,33,07/01/1985,07/01/1987
130,101045,64,07/01/1982,07/01/1985
131,101045,656,07/01/1979,07/01/1982
132,101045,1414,07/01/1978,07/01/1979
133,174987,173,01/01/1949,01/01/1971
134,3522,88,08/29/2009,07/28/2012
135,3522,3,06/30/2009,08/29/2009
136,3522,4,08/23/2008,06/30/2009
137,3522,3,07/01/2006,08/23/2008
138,3522,4,07/01/1999,07/01/2006
139,3522,88,07/01/1994,07/01/1999
140,3522,1412,07/01/1993,07/01/1994
141,170730,116,07/01/1959,07/01/1967
142,170730,6,07/01/1956,07/01/1959
143,170730,116,07/01/1951,07/01/1956
144,170730,409,07/01/1949,07/01/1951
145,145347,4,07/01/1960,07/01/1979
146,145347,662,07/01/1958,07/01/1960
147,196086,663,01/01/1978,01/01/1979
148,196086,1405,07/01/1977,01/01/1978
149,196086,35,08/01/1976,07/01/1977
150,196086,1411,03/01/1976,08/01/1976
151,196086,35,03/01/1974,03/01/1976
152,196086,14,07/01/1958,03/01/1974
153,42049,4,07/01/1977,07/01/1997
154,3372,197,06/22/2015,08/17/2015
155,3372,197,01/23/2014,03/15/2014
156,3372,287,01/07/2013,01/23/2014
157,3372,1410,01/01/2012,01/07/2013
158,3372,197,12/01/2011,01/01/2012
159,3372,89,01/01/2011,12/01/2011
160,3372,197,08/01/2010,01/01/2011
161,3372,1409,08/01/2008,08/01/2010
162,3372,79,07/01/2007,08/01/2008
163,3372,94,07/01/2004,07/01/2007
164,3372,146,12/01/2003,07/01/2004
165,3372,4,07/27/2002,12/01/2003
166,3372,2,07/01/1997,07/27/2002
167,3372,109,07/01/1996,07/01/1997
168,3372,180,08/11/1994,07/01/1996
169,3372,100,07/01/1993,08/11/1994
170,3372,197,01/01/1993,07/01/1993
171,3372,1408,01/01/1992,01/01/1993
172,3446,1,08/05/2005,07/01/2009
173,3446,6,07/24/2000,08/05/2005
174,3446,2,07/01/1995,07/24/2000
