id,team_name
1,Inter
2,Barcelona
3,Chelsea
4,AC Milan
5,Juventus
6,Real Madrid
7,Man Utd
8,Bayern Munich
9,Liverpool
10,Marseille
11,Tottenham
12,Arsenal
13,Aston Villa
14,West Ham
15,Man City
16,Everton
17,AS Roma
18,Monaco
19,Newcastle
20,Atlético Madrid
21,Ajax
22,Leeds
23,Paris SG
24,Borussia Dortmund
25,Benfica
26,Lazio
27,Olympique Lyon
28,G. Bordeaux
29,Saint-Étienne
30,Hamburger SV
31,Portsmouth
32,Leicester
33,PSV Eindhoven
34,Werder Bremen
35,Fulham
36,Fiorentina
37,1.FC Köln
38,Stoke City
39,Middlesbrough
40,FC Schalke 04
41,Blackburn
42,Sunderland
43,VfB Stuttgart
44,FC Porto
45,Valencia
46,Southampton
47,Birmingham
48,Borussia Monchengladbach
49,Sampdoria
50,Galatasaray
51,Rangers
52,Bayer Leverkusen
53,West Brom
54,QPR
55,River Plate
56,Bolton
57,Nottm Forest
58,Sevilla FC
59,Napoli
60,OGC Nice
61,Celtic
62,Eintrach Frankfurt
63,RSC Anderlecht
64,Feyenoord
65,Coventry
66,Red Star
67,Villarreal
68,Standard Liège
69,Real Zaragoza
70,AC Parma
71,1.FC K'lautern
72,LOSC Lille
73,Crystal Palace
74,Derby
75,Boca Juniors
76,Sporting CP
77,Bologna
78,Montpellier
79,AEK Athens
80,Fenerbahce
81,VfL Wolfsburg
82,Stade Rennais
83,Austria Vienna
84,Real Betis
85,FC Metz
86,Cardiff
87,Wolves
88,Dynamo Kyiv
89,São Paulo
90,Sheff Utd
91,Vasco da Gama
92,Genoa
93,Unknown
94,Olympiacos
95,Hannover 96
96,Flamengo
97,Swansea
98,Hertha BSC
99,FC Nantes
100,Corinthians
101,IFK Göteborg
102,Millwall
103,Rapid Vienna
104,Hellas Verona
105,Ipswich
106,Burnley
107,Real Sociedad
108,Grasshoppers
109,Dep. La Coruña
110,R. Strasbourg
111,Barça U19
112,Watford
113,Norwich
114,Wigan
115,Torino
116,Stade Reims
117,Brescia
118,Dinamo Zagreb
119,Besiktas
120,Panathinaikos
121,Bournemouth
122,Blackpool
123,Fluminense
124,CSKA Sofia
125,TSG Hoffenheim
126,1.FC Nuremberg
127,SM Caen
128,Sheff Wed
129,Real Valladolid
130,Dukla Prague
131,Ajax U19
132,LA Galaxy
133,Guingamp
134,Santos
135,NY Cosmos
136,Charlton
137,Neuchâtel Xamax
138,Hajduk Split
139,Al-Gharafa
140,RC Paris
141,AJ Auxerre
142,Barcelona B
143,Botafogo
144,Cannes
145,1860 Munich
146,Cruzeiro
147,Barça U16
148,Swindon Town
149,Spartak Moscow
150,Sparta Prague
151,Steaua Bucharest
152,Feijenoord
153,Hull City
154,Le Havre AC
155,Udinese
156,Norrköping
157,Bröndby IF
158,FC Bayern U19
159,First Vienna FC
160,US Valenciennes
161,Partizan
162,Sporting U19
163,OFK Beograd
164,Racing Club
165,FC Sochaux
166,Atalanta
167,Dinamo Tbilisi
168,Karlsruher SC
169,EC Vitória
170,SC Bastia
171,Whitecaps
172,Lausanne-Sport
173,Dinamo Moscow
174,Servette FC
175,Como
176,Perugia
177,FC Groningen
178,Reading
179,Vicenza
180,Palmeiras
181,FC Zürich
182,Celta de Vigo
183,AC Pisa
184,Wimbledon FC
185,Ferencváros
186,SC Freiburg
187,Stade Français
188,Varese
189,AS Nancy
190,Sporting Gijón
191,Club Brugge
192,1.FSV Mainz 05
193,Piacenza
194,Doncaster
195,Al-Sadd
196,Toulouse
197,Mogi Mirim
198,Brighton
199,KSC Lokeren
200,Slavia Prague
201,FL Strikers
202,K. Offenbach
203,Al-Rayyan
204,Maccabi Haifa
205,Inter U19
206,Preston
207,Lens
208,Nacional
209,Bari
210,Vejle BK
211,Heerenveen
212,Espanyol
213,Slo. Bratislava
214,Atlético-MG
215,FC Augsburg
216,Bradford
217,Atalanta BC
218,1.FC Kosice
219,La Fiorita
220,KV Mechelen
221,Ajax U17
222,New York City
223,Estudiantes LP
224,Basaksehir
225,Zeljeznicar
226,Nîmes Olympique
227,R Charleroi SC
228,Dundee FC
229,Górnik Zabrze
230,Castilla CF
231,Bristol City
232,AC Ajaccio
233,Widzew Lodz
234,Olymp. Lyon B
235,Trabzonspor
236,Adana Demirspor
237,FC Sion
238,Bury
239,FC Bayern U17
240,KRC Genk
241,Schalke 04 U19
242,Benfica U19
243,Salernitana
244,Rayo Vallecano
245,FC Dinamo
246,Sint-Truiden
247,Notts County
248,Torpedo Moskau
249,Man City Res.
250,US Palermo
251,Legia Warszawa
252,Man Utd Res.
253,NK Marsonia
254,Málaga CF
255,Internacional
256,Ponte Preta
257,Union Berlin
258,Man Utd U18
259,Seiko
260,Udinese Calcio
261,Hamburg U19
262,Al-Nassr
263,Newell's
264,U. Craiova
265,Ban
266,Español
267,AC Torino
268,FC St. Gallen
269,Sporting U17
270,Chicago
271,Honvéd SE
272,Grazer AK
273,Grêmio
274,MetroStars
275,UD Las Palmas
276,Bay. Uerdingen
277,Újpesti Dózsa
278,DSV Leoben
279,Malmö FF
280,Banska Bystrica
281,Toronto Bliz.
282,FC Bayern II
283,Banik Ostrava
284,St. Pölten
285,Schalke 04 U17
286,Huddersfield
287,São Caetano
288,Barnet
289,Benfica U17
290,FC Chiasso
291,Ajax U21
292,Saarbrücken
293,SC Braga
294,Örgryte
295,LDU Quito
296,Luton
297,Rosenborg
298,Helsingborgs IF
299,SEC Bastia
300,Botafogo-SP
301,Aris Saloniki
302,CD Tenerife
303,FC Porto U19
304,SH SIPG
305,Slovan Liberec
306,Zenit S-Pb
307,FC Utrecht
308,Levante
309,Sporting Sub-15
310,Crewe Alexandra
311,FC Nantes B
312,Real Madrid B
313,Lyngby BK
314,RCD Mallorca
315,Antalyaspor
316,Argentinos Jrs.
317,Colo-Colo
318,NAC
319,Al-Ahli
320,PAOK Salonika
321,Vissel Kobe
322,Mantova
323,Vitesse
324,Mulhouse
325,FC Lorient
326,Stuttgart U17
327,Stuttgart U19
328,Twente FC
329,Shrewsbury
330,Delhi Dynamos
331,Casino Salzburg
332,Östers IF
333,Reggiana
334,SH Shenhua
335,Hartlepool
336,St. Louis Stars
337,FC Basel
338,Miami
339,Savona
340,MVV Maastricht
341,Al-Ittihad
342,ASEC Mimosas
343,Metalurg D.
344,Aarhus GF
345,B. München Yth.
346,Palermo
347,Iraklis
348,Floridsdorfer AC
349,Melbourne City
350,Schalke 04 Yth.
351,D.C. United
352,AC Bellinzona
353,Olymp. Lyon U19
354,Al-Arabi SC
355,Monaco B
356,Orlando
357,Padova
358,FC Sète 34
359,Tranmere Rovers
360,FC Copenhagen
361,FC Luzern
362,1.FC Magdeburg
363,Urawa Reds
364,Ascoli
365,KRC Genk U19
366,KRC Genk U17
367,St. Mirren
368,Triestina
369,Independiente
370,FC St. Pauli
371,Reggina
372,AIK
373,Millonarios
374,FC Barcelona
375,Los Angeles Aztecs
376,FC Metz B
377,Carlisle United
378,Barcelona C
379,Atl. Madrid B
380,Cagliari Calcio
381,NK Zagreb
382,Tigres UANL
383,Mumbai City
384,Cerezo Osaka
385,Austria Salzb.
386,Lierse SK
387,ÍBV
388,Juventude
389,Stuttgart Yth.
390,Stuttgart II
391,Willem II
392,Kayserispor
393,Perth Glory
394,Tampa Bay
395,Puebla FC
396,AC Arles-Avignon
397,Odense BK
398,CD El Nacional
399,Royal Antwerp
400,Hammarby
401,Rio Branco-SP
402,FC Grenoble D.
403,Leyton Orient
404,Spurs U18
405,Oxford United
406,Aberdeen FC
407,FK Austria Vienn
408,Albacete
409,Angers SCO
410,VfL Bochum
411,Vitória Setúbal
412,LAFC
413,C. Budejovice
414,Al-Talaba SC
415,U. de Chile
416,Verona
417,Swansea Town
418,Loko Plovdiv
419,Melbourne
420,Chinoin S.C.
421,H. Rostock U17
422,Detroit Express
423,Al-Hilal
424,Xerxes
425,Al-Ahli (UAE)
426,FC Twente
427,UNAM Pumas
428,Osmanlispor FK
429,Dynamo Dresden
430,Herediano
431,Stade Brestois
432,Stockport
433,New York
434,Cork Celtic FC
435,AZ '67
436,Hibernian FC
437,Atlético Celaya
438,CS Sedan
439,Alverca
440,Levski Sofia
441,Chornomorets
442,TCity
443,Wiener SC
444,Hellerup IK
445,Gamba Osaka
446,B. Jerusalem
447,Rosario Central
448,Croatia Zagreb
449,NK Olimpija
450,RW Essen
451,AGOVV
452,Hércules CF
453,DSV Alpine
454,Sturm Graz
455,Sport. Cristal
456,KAA Gent U21
457,F. Düsseldorf
458,Avellino
459,Colorado
460,FC Sochaux B
461,TKC Yaoundé
462,Etar
463,Saint-Pierroise
464,Hansa Rostock
465,Red Star FC
466,Vélez Sarsfield
467,Real Madrid C
468,Peñarol
469,New England
470,RB Leipzig
471,Bristol Rovers
472,Valencia B
473,Qatar SC
474,Anzhi
475,Wrexham
476,Oldham Athletic
477,Trento
478,Örebro SK
479,Barnsley FC
480,Foggia
481,Sportist Sofia
482,H. Rostock U19
483,Casertana
484,IK Sleipner
485,Saint-Étienne B
486,Leverkusen U17
487,FC Goa
488,Holstein Kiel
489,FC Biel-Bienne
490,San Sebastián CF
491,Sydney United
492,Croatia Sesvete
493,Iwuanyanwu Nat'l
494,LB Châteauroux
495,CD Logroñés
496,Eendracht Aalst
497,RWD Molenbeek
498,SW Essen U17
499,CZ Jena II
500,Metalist Kharkiv
501,Wanderers
502,Athletic
503,Le Havre B
504,Anderlecht U17
505,Carl Zeiss Jena
506,Yokohama Marinos
507,Barreirense
508,Tombense
509,GIF Sundsvall
510,Velez Mostar
511,CSM Resita
512,FC Volendam
513,Spartak Sofia
514,Grenoble
515,Rapid Youth
516,Cercle Brugge
517,Banfield
518,HNK Rijeka
519,Al-Duhail SC
520,Excelsior
521,Real Murcia
522,Vasas SC
523,Grenoble B
524,M'gladbach II
525,Figueirense FC
526,Deutschlandsbg.
527,Tours FC
528,SC Westtünnen
529,Highlands Park 
530,Slovan HAC
531,Paris FC
532,Chicago Sting
533,Indep. Santa Fe
534,Knights
535,Ancona
536,PSV Amateurs
537,Chaux-de-Fonds
538,Viktoria Zizkov
539,Vojvodina
540,1.FC Köln Yth.
541,Le Havre U19
542,Beroe
543,1.FC Köln U17
544,SV Spittal/Drau
545,SV Feldkirchen
546,EC Bahia
547,Slavia Sofia
548,Lecce
549,Falkirk
550,Coritiba FC
551,LIAZ Jablonec
552,AS Livorno
553,AJ Auxerre B
554,Juventus-SP
555,Sambenedettese
556,FC Locarno
557,FC Aarau
558,CZ Jena U19
559,Guarani
560,Tottenham Res.
561,SK Beveren-Waes
562,Fremad Amager
563,Fortuna Sittard
564,BSC Young Boys
565,Spartak Trnava
566,CFKA Sredets
567,Sligo Rovers
568,FC Tirol
569,Wattens-Wacker
